"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "XML", "vue", "CSS", "comment", "blank", "total"
"d:\documents\projects\hellotab\README.md", "Markdown", 0, 0, 0, 50, 0, 0, 0, 0, 19, 69
"d:\documents\projects\hellotab\app\app.vue", "vue", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\documents\projects\hellotab\app\assets\css\global.css", "CSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"d:\documents\projects\hellotab\app\components\background.vue", "vue", 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"d:\documents\projects\hellotab\app\components\configSyncHandler.vue", "vue", 0, 0, 0, 0, 0, 110, 0, 0, 4, 114
"d:\documents\projects\hellotab\app\components\custom\button.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\documents\projects\hellotab\app\components\custom\checkBox.vue", "vue", 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"d:\documents\projects\hellotab\app\components\custom\image-uploader.vue", "vue", 0, 0, 0, 0, 0, 93, 0, 0, 5, 98
"d:\documents\projects\hellotab\app\components\custom\keyboard.vue", "vue", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\documents\projects\hellotab\app\components\custom\placeholder.vue", "vue", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\documents\projects\hellotab\app\components\custom\selector.vue", "vue", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"d:\documents\projects\hellotab\app\components\custom\switch.vue", "vue", 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"d:\documents\projects\hellotab\app\components\custom\text.vue", "vue", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\documents\projects\hellotab\app\components\hitokoto.vue", "vue", 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"d:\documents\projects\hellotab\app\components\searchBox.vue", "vue", 0, 0, 0, 0, 0, 511, 0, 0, 23, 534
"d:\documents\projects\hellotab\app\components\settings\main.vue", "vue", 0, 0, 0, 0, 0, 85, 0, 0, 2, 87
"d:\documents\projects\hellotab\app\components\settings\page-about.vue", "vue", 0, 0, 0, 0, 0, 69, 0, 0, 5, 74
"d:\documents\projects\hellotab\app\components\settings\page-ai.vue", "vue", 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"d:\documents\projects\hellotab\app\components\settings\page-appearence.vue", "vue", 0, 0, 0, 0, 0, 93, 0, 0, 4, 97
"d:\documents\projects\hellotab\app\components\settings\page-general.vue", "vue", 0, 0, 0, 0, 0, 82, 0, 0, 3, 85
"d:\documents\projects\hellotab\app\components\settings\page-search.vue", "vue", 0, 0, 0, 0, 0, 159, 0, 0, 7, 166
"d:\documents\projects\hellotab\app\components\settings\page-sync.vue", "vue", 0, 0, 0, 0, 0, 210, 0, 0, 9, 219
"d:\documents\projects\hellotab\app\components\settings\page-website.vue", "vue", 0, 0, 0, 0, 0, 284, 0, 0, 13, 297
"d:\documents\projects\hellotab\app\components\settings\page-widgets.vue", "vue", 0, 0, 0, 0, 0, 92, 0, 0, 2, 94
"d:\documents\projects\hellotab\app\components\toast.vue", "vue", 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"d:\documents\projects\hellotab\app\components\widgetsPanel.vue", "vue", 0, 0, 0, 0, 0, 105, 0, 0, 5, 110
"d:\documents\projects\hellotab\app\components\widgets\base.vue", "vue", 0, 0, 0, 0, 0, 62, 0, 0, 2, 64
"d:\documents\projects\hellotab\app\components\widgets\calendar.vue", "vue", 0, 0, 0, 0, 0, 110, 0, 0, 15, 125
"d:\documents\projects\hellotab\app\components\widgets\clock.vue", "vue", 0, 0, 0, 0, 0, 119, 0, 6, 16, 141
"d:\documents\projects\hellotab\app\components\widgets\menu.vue", "vue", 0, 0, 0, 0, 0, 80, 0, 0, 10, 90
"d:\documents\projects\hellotab\app\components\widgets\new.vue", "vue", 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"d:\documents\projects\hellotab\app\components\widgets\todolist.vue", "vue", 0, 0, 0, 0, 0, 250, 0, 0, 14, 264
"d:\documents\projects\hellotab\app\components\widgets\weather.vue", "vue", 0, 0, 0, 0, 0, 158, 0, 0, 12, 170
"d:\documents\projects\hellotab\app\components\widgets\website.vue", "vue", 0, 0, 0, 0, 0, 47, 0, 0, 3, 50
"d:\documents\projects\hellotab\app\components\window.vue", "vue", 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"d:\documents\projects\hellotab\app\pages\faq.vue", "vue", 0, 0, 0, 0, 0, 70, 0, 0, 3, 73
"d:\documents\projects\hellotab\app\pages\index.vue", "vue", 0, 0, 0, 0, 0, 78, 0, 0, 3, 81
"d:\documents\projects\hellotab\app\pages\intro.vue", "vue", 0, 0, 0, 0, 0, 155, 0, 0, 5, 160
"d:\documents\projects\hellotab\app\pages\privacy.vue", "vue", 0, 0, 0, 0, 0, 45, 0, 0, 7, 52
"d:\documents\projects\hellotab\app\stores\image.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\documents\projects\hellotab\app\stores\runtime.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\documents\projects\hellotab\app\stores\settings.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 1, 120
"d:\documents\projects\hellotab\app\stores\settings_local.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\documents\projects\hellotab\app\utils\compressImage.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"d:\documents\projects\hellotab\app\utils\config.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 12, 101
"d:\documents\projects\hellotab\app\utils\picture_proxy.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\documents\projects\hellotab\app\utils\url.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"d:\documents\projects\hellotab\app\utils\webdav_client.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 3, 66
"d:\documents\projects\hellotab\app\utils\websiteDb.js", "JavaScript", 0, 337, 0, 0, 0, 0, 0, 0, 2, 339
"d:\documents\projects\hellotab\bun.lock", "JSON with Comments", 1505, 0, 0, 0, 0, 0, 0, 0, 1475, 2980
"d:\documents\projects\hellotab\i18n\locales\en.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 57
"d:\documents\projects\hellotab\i18n\locales\ja.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 57
"d:\documents\projects\hellotab\i18n\locales\zh.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 57
"d:\documents\projects\hellotab\nuxt.config.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 52
"d:\documents\projects\hellotab\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\documents\projects\hellotab\public\img\163mail.svg", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\documents\projects\hellotab\public\img\CCTV.svg", "XML", 0, 0, 0, 0, 60, 0, 0, 1, 2, 63
"d:\documents\projects\hellotab\public\img\chrome.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\deepseek.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\documents\projects\hellotab\public\img\drawio.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\documents\projects\hellotab\public\img\duolingo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\edge.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\extension.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\firefox.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\folo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\forms.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\gamma.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\documents\projects\hellotab\public\img\github.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\icons8.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\notion.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\documents\projects\hellotab\public\img\onedrive.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\outlook.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\postman.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\documents\projects\hellotab\public\img\vsc.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\documents\projects\hellotab\public\img\webofscience.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 1, 1, 26
"d:\documents\projects\hellotab\public\sitemap.xml", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"d:\documents\projects\hellotab\server\api\backgrounds.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"d:\documents\projects\hellotab\server\api\completion.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"d:\documents\projects\hellotab\server\api\image\[...id].js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"d:\documents\projects\hellotab\server\api\image\upload.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"d:\documents\projects\hellotab\server\api\proxy\[...dest].js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 1, 4, 49
"d:\documents\projects\hellotab\server\api\weather.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"d:\documents\projects\hellotab\server\tsconfig.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\documents\projects\hellotab\tsconfig.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"Total", "-", 1511, 950, 203, 50, 203, 3386, 17, 10, 1738, 8068
